SOP_ID,Title,Process_Area,Summary,Broad_Applicability_Conservative,Key_Tasks_Governed
SOP-001,Document Control Procedure,Document Control,"Defines how controlled documents are created, reviewed, approved, and released.","All Employees","approves controlled document; releases controlled document"
SOP-002,Document Numbering and Templates,Document Control,"Establishes numbering conventions and required templates for all controlled documents.","All Engineering, Quality, Regulatory","authors controlled document"
SOP-003,Change Control for Controlled Documents,Document Control,"Governs the process for requesting, reviewing, and implementing changes to controlled documents.","All Engineering, Quality, Regulatory, Manufacturing","initiates document change request; approves document change"
SOP-004,Quality Manual Control,Document Control,"Defines maintenance and revision process for the company Quality Manual.","All Employees","approves quality manual revision"
SOP-005,Design Control Overview and Planning,Design Control,"Establishes the design and development planning process, including phase gates and design plan content.","All Engineering, R&D, Regulatory","creates design plan; owns design project phase gate"
SOP-006,Design Inputs,Design Control,"Defines process for capturing, reviewing, and approving design input requirements.","All Engineering, R&D, Marketing, Regulatory","authors design input requirements; approves design inputs"
SOP-007,Design Outputs,Design Control,"Defines process for generating and reviewing design outputs (drawings, specs, source code if applicable).","All Engineering, R&D","authors design output; reviews design output"
SOP-008,Design Verification,Design Control,"Governs planning, execution, and reporting of design verification testing.","All Engineering, Quality","authors verification protocol; executes verification test; signs verification report"
SOP-009,Design Validation,Design Control,"Governs planning, execution, and reporting of design validation activities including simulated use.","All Engineering, Quality, Clinical","authors validation protocol; executes validation study; signs validation report"
SOP-010,Design Transfer,Design Control,"Defines the process for transferring a design from development to production, including transfer criteria.","All Engineering, Manufacturing, Quality","authors design transfer plan; approves design transfer to production"
SOP-011,Design Change Control,Design Control,"Governs evaluation, approval, and implementation of changes to a released design.","All Engineering, Quality, Regulatory, Manufacturing","initiates design change request; approves design change; assesses design change impact"
SOP-012,Design History File Management,Design Control,"Defines requirements for compiling and maintaining the Design History File.","All Engineering, R&D, Regulatory","compiles DHF entries; audits DHF completeness"
SOP-013,Human Factors and Usability Engineering,Design Control,"Governs use-related risk analysis, formative and summative usability studies.","All Engineering, Clinical, Regulatory","authors use-related risk analysis; conducts usability study"
SOP-014,Risk Management Process (ISO 14971),Risk Management,"Establishes the overall risk management process across the product lifecycle.","All Engineering, R&D, Quality, Regulatory","authors risk management plan; approves risk management report"
SOP-015,Risk Analysis Techniques (FMEA),Risk Management,"Defines methodology for design and process FMEAs.","All Engineering, Manufacturing, Quality","conducts design FMEA; conducts process FMEA"
SOP-016,Post-Production Risk Review,Risk Management,"Governs periodic re-evaluation of risk files using post-market data.","All Engineering, Quality, Regulatory","updates risk file with post-market data"
SOP-017,CAPA Process,CAPA,"Defines the corrective and preventive action process from initiation through closure.","All Employees","initiates CAPA; investigates CAPA; approves CAPA closure"
SOP-018,Root Cause Analysis Methodology,CAPA,"Defines accepted root cause analysis tools (5-why, fishbone) and documentation requirements.","All Engineering, Quality, Manufacturing","conducts root cause analysis"
SOP-019,CAPA Effectiveness Verification,CAPA,"Governs planning and execution of effectiveness checks for closed CAPAs.","Quality, Engineering (as assigned)","plans effectiveness check; executes effectiveness check"
