Profile_ID,Role_Name,Person_Label,Primary_Department,Anchor_Projects,Task_Count,Task_IDs
R-01,Early Phase R&D Engineer,,R&D,P-06,14,T-139;T-140;T-141;T-142;T-143;T-144;T-145;T-181;T-182;T-183;T-172;T-173;T-064;T-065
R-02,Product Development Engineer,A,Engineering,P-01,41,T-007;T-008;T-009;T-010;T-011;T-012;T-013;T-014;T-015;T-016;T-017;T-018;T-021;T-022;T-023;T-024;T-026;T-027;T-028;T-029;T-030;T-036;T-064;T-065;T-153;T-154;T-177;T-178;T-131;T-132;T-133;T-134;T-135;T-136;T-155;T-156;T-157;T-159;T-160;T-161;T-162
R-03,Product Development Engineer,B,Engineering,"P-05, P-02 (support)",27,T-007;T-008;T-009;T-010;T-011;T-012;T-013;T-014;T-015;T-016;T-017;T-018;T-021;T-022;T-023;T-024;T-036;T-064;T-065;T-177;T-178;T-041;T-043;T-044;T-091;T-034;T-156
R-04,Manufacturing/Process Engineer,A,Manufacturing,P-03,16,T-080;T-081;T-082;T-083;T-084;T-093;T-031;T-064;T-065;T-172;T-173;T-163;T-164;T-058;T-059;T-051
R-05,Manufacturing/Process Engineer,B,Manufacturing,P-01,17,T-080;T-081;T-082;T-083;T-084;T-093;T-031;T-064;T-065;T-172;T-173;T-163;T-164;T-168;T-176;T-157;T-095
R-06,Quality Engineer,A,Quality,P-02,16,T-033;T-034;T-036;T-037;T-038;T-041;T-042;T-043;T-044;T-064;T-065;T-072;T-073;T-156;T-174;T-179
R-07,Quality Engineer,B,Quality,P-04,15,T-033;T-034;T-036;T-037;T-038;T-041;T-042;T-043;T-044;T-064;T-065;T-062;T-063;T-047;T-048
R-08,QA/Compliance Specialist,,Quality,P-10,16,T-035;T-045;T-046;T-047;T-048;T-062;T-063;T-064;T-065;T-001;T-005;T-119;T-120;T-049;T-050;T-025
R-09,Regulatory Affairs Specialist,,Regulatory,P-07,16,T-126;T-127;T-128;T-129;T-130;T-070;T-071;T-113;T-114;T-064;T-065;T-124;T-137;T-138;T-184;T-185
R-10,Assembly Technician,,Manufacturing,"P-05, P-01 (ramp)",17,T-084;T-087;T-088;T-089;T-096;T-097;T-098;T-165;T-166;T-167;T-169;T-171;T-090;T-064;T-065;T-168;T-176
R-11,Buyer/Planner,,Purchasing,P-11,12,T-078;T-079;T-054;T-055;T-053;T-151;T-152;T-064;T-065;T-051;T-052;T-060
R-12,Document Control Coordinator,,Quality,P-12,13,T-002;T-003;T-004;T-119;T-120;T-064;T-065;T-146;T-062;T-063;T-118;T-177;T-178
R-13,Complaint Handling/PMS Specialist,,Quality,P-02,14,T-068;T-069;T-070;T-074;T-075;T-174;T-175;T-179;T-064;T-065;T-072;T-073;T-076;T-033
R-14,Marketing Specialist,,Marketing,P-09,7,T-123;T-124;T-064;T-065;T-111;T-112;T-125
R-15,Territory Sales Rep,,Sales,P-08,5,T-068;T-069;T-125;T-064;T-065
R-16,Clinical Specialist,,Clinical,"P-08, P-09",10,T-068;T-069;T-072;T-026;T-027;T-137;T-138;T-125;T-064;T-065
