Task_ID,Task_Name,Process_Area,Governing_SOP_ID
T-001,approves controlled document,Document Control,SOP-001
T-002,releases controlled document,Document Control,SOP-001
T-003,authors controlled document,Document Control,SOP-002
T-004,initiates document change request,Document Control,SOP-003
T-005,approves document change,Document Control,SOP-003
T-006,approves quality manual revision,Document Control,SOP-004
T-007,creates design plan,Design Control,SOP-005
T-008,owns design project phase gate,Design Control,SOP-005
T-009,authors design input requirements,Design Control,SOP-006
T-010,approves design inputs,Design Control,SOP-006
T-011,authors design output,Design Control,SOP-007
T-012,reviews design output,Design Control,SOP-007
T-013,authors verification protocol,Design Control,SOP-008
T-014,executes verification test,Design Control,SOP-008
T-015,signs verification report,Design Control,SOP-008
T-016,authors validation protocol,Design Control,SOP-009
T-017,executes validation study,Design Control,SOP-009
T-018,signs validation report,Design Control,SOP-009
T-019,authors design transfer plan,Design Control,SOP-010
T-020,approves design transfer to production,Design Control,SOP-010
T-021,initiates design change request,Design Control,SOP-011
T-022,approves design change,Design Control,SOP-011
T-023,assesses design change impact,Design Control,SOP-011
T-024,compiles DHF entries,Design Control,SOP-012
T-025,audits DHF completeness,Design Control,SOP-012
T-026,authors use-related risk analysis,Design Control,SOP-013
T-027,conducts usability study,Design Control,SOP-013
T-028,authors risk management plan,Risk Management,SOP-014
T-029,approves risk management report,Risk Management,SOP-014
T-030,conducts design FMEA,Risk Management,SOP-015
T-031,conducts process FMEA,Risk Management,SOP-015
T-032,updates risk file with post-market data,Risk Management,SOP-016
T-033,initiates CAPA,CAPA,SOP-017
T-034,investigates CAPA,CAPA,SOP-017
T-035,approves CAPA closure,CAPA,SOP-017
T-036,conducts root cause analysis,CAPA,SOP-018
T-037,plans effectiveness check,CAPA,SOP-019
T-038,executes effectiveness check,CAPA,SOP-019
T-039,identifies nonconforming product,Nonconforming Product,SOP-020
T-040,tags nonconforming product,Nonconforming Product,SOP-020
T-041,serves on MRB,Nonconforming Product,SOP-021
T-042,issues MRB disposition,Nonconforming Product,SOP-021
T-043,approves use-as-is disposition,Nonconforming Product,SOP-022
T-044,approves rework disposition,Nonconforming Product,SOP-022
T-045,conducts internal audit,Internal Audit,SOP-023
T-046,schedules internal audit,Internal Audit,SOP-023
T-047,responds to audit finding,Internal Audit,SOP-024
T-048,approves finding closure,Internal Audit,SOP-024
T-049,presents management review input,Management Review,SOP-025
T-050,attends management review,Management Review,SOP-025
T-051,conducts supplier audit,Supplier Controls,SOP-026
T-052,approves new supplier,Supplier Controls,SOP-026
T-053,maintains approved supplier list,Supplier Controls,SOP-027
T-054,issues purchase order,Supplier Controls,SOP-028
T-055,verifies PO quality requirements,Supplier Controls,SOP-028
T-056,performs incoming inspection,Supplier Controls,SOP-029
T-057,releases incoming lot,Supplier Controls,SOP-029
T-058,issues SCAR,Supplier Controls,SOP-030
T-059,reviews supplier CAPA response,Supplier Controls,SOP-030
T-060,maintains quality agreement,Supplier Controls,SOP-031
T-061,conducts CM oversight audit,Supplier Controls,SOP-031
T-062,assigns training matrix,Training,SOP-032
T-063,approves training matrix change,Training,SOP-032
T-064,completes assigned training,Training,SOP-033
T-065,documents training completion,Training,SOP-033
T-066,completes onboarding training,Training,SOP-034
T-067,delivers onboarding training,Training,SOP-034
T-068,receives customer complaint,Complaints/PMS,SOP-035
T-069,logs complaint intake,Complaints/PMS,SOP-035
T-070,makes MDR reportability determination,Complaints/PMS,SOP-036
T-071,submits MDR report,Complaints/PMS,SOP-036
T-072,investigates complaint sample,Complaints/PMS,SOP-037
T-073,authors complaint investigation report,Complaints/PMS,SOP-037
T-074,trends post-market data,Complaints/PMS,SOP-038
T-075,authors PMS report,Complaints/PMS,SOP-038
T-076,initiates field action evaluation,Complaints/PMS,SOP-039
T-077,approves field action,Complaints/PMS,SOP-039
T-078,creates production schedule,Production,SOP-040
T-079,releases work order,Production,SOP-040
T-080,authors work instruction,Production,SOP-041
T-081,approves work instruction,Production,SOP-041
T-082,authors validation protocol (process),Production,SOP-042
T-083,executes IQ/OQ/PQ,Production,SOP-042
T-084,performs in-process inspection,Production,SOP-043
T-085,performs final inspection,Production,SOP-044
T-086,releases finished lot,Production,SOP-044
T-087,performs manual assembly per workmanship standard,Production,SOP-045
T-088,performs line clearance,Production,SOP-046
T-089,verifies line clearance,Production,SOP-046
T-090,performs rework,Production,SOP-047
T-091,approves rework procedure,Production,SOP-047
T-092,calibrates equipment,Equipment,SOP-048
T-093,investigates out-of-tolerance condition,Equipment,SOP-048
